[0411/230951.535:INFO:CONSOLE:6] "Uncaught ReferenceError: sj_evt is not defined", source: https://www.bing.com/ (6)
[0411/230951.541:INFO:CONSOLE:1] "Uncaught ReferenceError: sj_be is not defined", source: https://r.bing.com/rp/bhhdQJeg8xXgunZIeh8xsZViHi0.br.js (1)
[0411/230951.541:INFO:CONSOLE:2] "Uncaught ReferenceError: _w is not defined", source: https://r.bing.com/rp/70rhlhm1764HLXYuwL6dxslNwPk.br.js (2)
[0411/230951.542:INFO:CONSOLE:10] "Uncaught ReferenceError: _G is not defined", source: https://www.bing.com/ (10)
[0411/230951.727:INFO:CONSOLE:72] "An iframe which has both allow-scripts and allow-same-origin for its sandbox attribute can escape its sandboxing.", source: https://r.bing.com/rp/9uYIRoQB-ThMq970XKGeKvrMhL0.br.js (72)
[0411/230951.835:INFO:CONSOLE:1] "true", source: https://login.live.com/Me.htm?v=3 (1)
[0411/230952.372:INFO:CONSOLE:0] "An iframe which has both allow-scripts and allow-same-origin for its sandbox attribute can escape its sandboxing.", source: https://www.bing.com/#code=M.C533_BL2.2.U.Drk3XTJdN5c*eNrS8xt8jiW7t4fzWdeoVSk3ntOCOk1Nq!6jgDIAqmj!cjnlDUjewUgguc4Sk!u1dROWm8FJ9GuYycK4vNfosFvoQxaYXftwKuDREE0a!uInowIcTvPSfVNAlvcpFOXNOWl40LV98VPEck1Z5fHpks1VfBRksy!SmZalp4eM4bgRetZJI6pMd2MNujYSjJTDZ2LvEhcEQmh6UuoQNTqujvhqvK64wTQpZE!NPC!SJlf27JgpZATdLsEXPe83hzRoxH*jbZCgIoEDtBTg2umObR8a3v6a6x0C2pziWV1*E6oMgTD97XYTc4Q3XZ1Am*bsrajkbGmWdvGZGAw1Esd3sa75Scj9FbnmT2ed47biblHNoFqrUM8!nTPeMa5gRxtdqKrtvAYPjBDY8z9I7jYVw5jIf6lv1p4VDVoHGqbpwPoWAeb*l4OwSgB2LKuN64PlVM*0WPwB7N0k7vvdfcACK36CRTvZtfYqFzhDK7fhFMOtF8Qz*rT4Z8ExiZ4matVD53FQiZQLCEcCqLg50tGMS7YBqMd!n6sO8u7b5dNRhOLVdHWRqeInbKFM6PdnN8qzGpVoKJ1DktZfuPbubnLgYwtSUm2FwGGhm*LR*vaUg4pRsZGEXP8bBWQQWf9kjmOOm2qSAg*11pryVeCP1zCsC0GsNqojfUb6nQ8v*UapG3*iSyp5reUwGg%24%24&client_info=eyJ2ZXIiOiIxLjAiLCJzdWIiOiJBQUFBQUFBQUFBQUFBQUFBQUFBQUFOa3c3b3A1YXk3R1dITUc5NW9VWnpJIiwibmFtZSI6IkFiaGlzaGVrIE1hbmRoYXJlIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJoaXNoZWtfbWFuZGhhcmVAeWFob28uY29tIiwib2lkIjoiMDAwMDAwMDAtMDAwMC0wMDAwLWI2NjUtNGI1ZTcyMzU5Mjk3IiwidGlkIjoiOTE4ODA0MGQtNmM2Ny00YzViLWIxMTItMzZhMzA0YjY2ZGFkIiwiaG9tZV9vaWQiOiIwMDAwMDAwMC0wMDAwLTAwMDAtYjY2NS00YjVlNzIzNTkyOTciLCJ1aWQiOiIwMDAwMDAwMC0wMDAwLTAwMDAtYjY2NS00YjVlNzIzNTkyOTciLCJ1dGlkIjoiOTE4ODA0MGQtNmM2Ny00YzViLWIxMTItMzZhMzA0YjY2ZGFkIn0&state=eyJpZCI6ImI1YzBjZTNkLWZkNmUtNDNjMC1iNjQ2LWZjMTU1MmEyYmRhNCIsIm1ldGEiOnsiaW50ZXJhY3Rpb25UeXBlIjoic2lsZW50In19 (0)
[0411/230953.434:INFO:CONSOLE:94] "Permissions policy violation: unload is not allowed in this document.", source: https://assets.msn.com/bundles/v1/bingHomepage/latest/microsoft.edd09c236eeae714cc11.js (94)
[0411/230953.434:INFO:CONSOLE:94] "Permissions policy violation: unload is not allowed in this document.", source: https://assets.msn.com/bundles/v1/bingHomepage/latest/microsoft.edd09c236eeae714cc11.js (94)
[0411/230953.846:INFO:CONSOLE:9] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=australian%20housing%20market%202026 (9)
[0411/230953.847:INFO:CONSOLE:9] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=australian%20housing%20market%202026 (9)
